Benchmark,Successful,Time Taken,Program Found,Program Length
src\main\resources\benchmarks\diff.sl,true,0,(ite (>= y x) (- x y) (- y x)),30
src\main\resources\benchmarks\fg_array_search_10.sl,true,12,(ite (or (and (> var2; var11;) (< var1; (* 1 var11;))) (and (> var2; var11;) (< var1; (* 1 var11;)))) 1(ite (or (not (< var11; var10;)) (not (< var11; var10;))) 10(ite (or (>= var11; var9;) (>= var11; var9;)) 9(ite (or (or false (not (not (<= var8; var11;)))) (or false (not (not (<= var8; var11;))))) 8(ite (or (<= var7; var11;) (<= var7; var11;)) 7(ite (or (and  true  (>= var11; var6;)) (and  true  (>= var11; var6;))) 6(ite (or (> var11; var5;) (> var11; var5;)) 5(ite (or (> var11; var4;) (> var11; var4;)) 4(ite (or (<= var3; var11;) (<= var3; var11;)) 3(ite (or (<= var2; var11;) (<= var2; var11;)) 2 (- 1 1))))))))))),625
src\main\resources\benchmarks\fg_array_search_11.sl,true,14,(ite (or (and (>= var2; var12;) (not (> (ite true var1; var11;) var12;))) (and (>= var2; var12;) (not (> (ite true var1; var11;) var12;)))) 1(ite (or (> var12; var11;) (> var12; var11;)) (+ 1 10)(ite (or (<= var10; var12;) (<= var10; var12;)) 10(ite (or (<= var9; var12;) (<= var9; var12;)) 9(ite (or (<= var8; var12;) (<= var8; var12;)) 8(ite (or (<= var7; var12;) (<= var7; var12;)) 7(ite (or (and (< var6; var12;) true) (and (< var6; var12;) true)) 6(ite (or (> var12; (ite (> var2; var5;) var4; var5;)) (> var12; (ite (> var2; var5;) var4; var5;))) 5(ite (or (> var12; var4;) (> var12; var4;)) 4(ite (or (< var3; var12;) (< var3; var12;)) 3(ite (or (> var12; var1;) (> var12; var1;)) 2 (- 1 1)))))))))))),708
src\main\resources\benchmarks\fg_array_search_12.sl,true,20,(ite (or (and  true  (and (>= var13; var11;) (<= (- var13; var9;) (- var12; var9;)))) (and  true  (and (>= var13; var11;) (<= (- var13; var9;) (- var12; var9;))))) 11(ite (or (and (<= var10; var13;) (< var13; var11;)) (and (<= var10; var13;) (< var13; var11;))) (+ 1 9)(ite (or (and (> var11; var13;) (< var9; var13;)) (and (> var11; var13;) (< var9; var13;))) 9(ite (or (and (< (ite true var8; var2;) var13;) (>= (ite false var3; var10;) (- var13; 1))) (and (< (ite true var8; var2;) var13;) (>= (ite false var3; var10;) (- var13; 1)))) 8(ite (or (and (< (ite  true  (* -1 (* 1 var13;)) (+ (ite (and true true) var2; var7;) (+ var5; var11;))) (- (* -12 (ite  true  (- (+ var8; var3;) (+ var8; var3;)) (+ (- var11; var3;) (- var11; var8;)))) (ite (and true true) var7; (+ var12; var1;)))) (> var12; var13;)) (and (< (ite  true  (* -1 (* 1 var13;)) (+ (ite (and true true) var2; var7;) (+ var5; var11;))) (- (* -12 (ite  true  (- (+ var8; var3;) (+ var8; var3;)) (+ (- var11; var3;) (- var11; var8;)))) (ite (and true true) var7; (+ var12; var1;)))) (> var12; var13;))) 7(ite (or (not (or (<= var13; var6;) (> (- var4; var4;) (- var10; var13;)))) (not (or (<= var13; var6;) (> (- var4; var4;) (- var10; var13;))))) 6(ite (or (not (>= (ite (<= var7; var13;) (* 0 var1;) (- var5; var13;)) (* 0 (- var13; var5;)))) (not (>= (ite (<= var7; var13;) (* 0 var1;) (- var5; var13;)) (* 0 (- var13; var5;))))) 5(ite (or (>= (ite (<= var4; var13;) (* 14 (- var10; var13;)) (* 19 (- var9; var12;))) (* -3 0)) (>= (ite (<= var4; var13;) (* 14 (- var10; var13;)) (* 19 (- var9; var12;))) (* -3 0))) 4(ite (or (> var9; (ite (not (>= var3; var13;)) var13; var11;)) (> var9; (ite (not (>= var3; var13;)) var13; var11;))) 3(ite (or (and (< var2; var13;) (< (ite  true  (+ (ite  true  (+ (* 1 var10;) (ite false var1; var3;)) var2;) (+ (ite false var7; var13;) (- -1 var3;))) (ite (< var1; var6;) (+ var2; var11;) (ite false var7; var13;))) (+ (* -6 (* 0 var12;)) (+ (* 1 var10;) (ite false var1; var3;))))) (and (< var2; var13;) (< (ite  true  (+ (ite  true  (+ (* 1 var10;) (ite false var1; var3;)) var2;) (+ (ite false var7; var13;) (- -1 var3;))) (ite (< var1; var6;) (+ var2; var11;) (ite false var7; var13;))) (+ (* -6 (* 0 var12;)) (+ (* 1 var10;) (ite false var1; var3;)))))) 2(ite (or (> (ite  true  var1; var10;) var13;) (> (ite  true  var1; var10;) var13;)) (- 1 1)(ite (or (<= var13; var4;) (<= var13; var4;)) 1 12)))))))))))),2418
src\main\resources\benchmarks\fg_array_search_13.sl,true,33,(ite (or (and (> (+ (* -1 var14;) (+ var14; (- var10; var10;))) (* -8 (- var13; var14;))) (< var12; var14;)) (and (> (+ (* -1 var14;) (+ var14; (- var10; var10;))) (* -8 (- var13; var14;))) (< var12; var14;))) 12(ite (or (and (>= var2; var14;) (< (* 0 var9;) (- var14; var1;))) (and (>= var2; var14;) (< (* 0 var9;) (- var14; var1;)))) 1(ite (or (< (ite (<= var9; var14;) (- var14; var10;) (- var11; var14;)) (ite (or true false) (* 0 var5;) (- var12; var3;))) (< (ite (<= var9; var14;) (- var14; var10;) (- var11; var14;)) (ite (or true false) (* 0 var5;) (- var12; var3;)))) 9(ite (or (and (>= var10; var14;) (<= (ite true var8; var3;) var14;)) (and (>= var10; var14;) (<= (ite true var8; var3;) var14;))) 8(ite (or (and (>= (ite (= var7; var1;) (- var10; var4;) (- var2; var4;)) (ite (> (ite (not  true ) var8; -1) (* 0 (* 19 (* 0 var12;)))) (* -9 (- var13; var14;)) (+ (- var2; var10;) (- var14; var4;)))) (not (> var7; var14;))) (and (>= (ite (= var7; var1;) (- var10; var4;) (- var2; var4;)) (ite (> (ite (not  true ) var8; -1) (* 0 (* 19 (* 0 var12;)))) (* -9 (- var13; var14;)) (+ (- var2; var10;) (- var14; var4;)))) (not (> var7; var14;)))) 7(ite (or (and (and (>= var14; var6;) (not  false )) (and  true  (not (and  true  (> var14; var9;))))) (and (and (>= var14; var6;) (not  false )) (and  true  (not (and  true  (> var14; var9;)))))) 6(ite (or (and (> var5; var14;) (<= 1 (- (ite true var14; var10;) (- var4; 1)))) (and (> var5; var14;) (<= 1 (- (ite true var14; var10;) (- var4; 1))))) 4(ite (or (and (<= var14; var8;) (> var14; var4;)) (and (<= var14; var8;) (> var14; var4;))) 5(ite (or (or  false  (and (>= var14; var1;) (> var3; var14;))) (or  false  (and (>= var14; var1;) (> var3; var14;)))) 2(ite (or (and (and (or false true) (<= var14; var3;)) (and (or true false)  true )) (and (and (or false true) (<= var14; var3;)) (and (or true false)  true ))) (- 1 1)(ite (or (>= var14; var13;) (>= var14; var13;)) 13(ite (or (and  true  (and (<= var10; var14;) (>= var11; var14;))) (and (<= var8; var10;) (and (<= var10; var14;) (>= var11; var14;)))) (+ 1 9)(ite (or (and  true  (and  true  (<= var11; var14;))) (and (>= (- var12; var11;) (- var11; var14;)) (and (> var14; var11;) (<= var11; var14;)))) 11 3))))))))))))),2235
src\main\resources\benchmarks\fg_array_search_14.sl,true,29,(ite (or (and (<= var15; (ite false var10; var11;)) (and  true  (>= var15; var10;))) (and (<= var15; (ite false var10; var11;)) (and  true  (>= var15; var10;)))) (+ 1 9)(ite (or (and (< var15; var13;) (<= var12; var15;)) (and (< var15; var13;) (<= var12; var15;))) 12(ite (or (and (< (ite false var7; var15;) var11;) (>= var15; var9;)) (and (< (ite false var7; var15;) var11;) (>= var15; var9;))) 9(ite (or (and (>= var15; var8;) (and  true  (> var9; (ite false var6; var15;)))) (and (>= var15; var8;) (and  true  (> var9; (ite false var6; var15;))))) 8(ite (or (and (> var11; (ite true var15; 0)) (< var7; var15;)) (and (> var11; (ite true var15; 0)) (< var7; var15;))) 7(ite (or (and (<= (- (ite false var4; var13;) (ite false var7; var13;)) (- var7; var15;)) (or (not true) (> var15; var6;))) (and (<= (- (ite false var4; var13;) (ite false var7; var13;)) (- var7; var15;)) (or (not true) (> var15; var6;)))) 6(ite (or (> (* 14 (* 0 -5)) (ite (>= (* 1 (+ (* 0 0) var5;)) var15;) (ite (< 0 var9;) (ite (or (> var10; 0) (and (or (> var15; var3;)  false )  false )) (ite (and false false) (- var2; var5;) (- var7; var5;)) (+ (ite true var10; var12;) (* 1 var1;))) (- 7 var9;)) (- var15; var11;))) (> (* 14 (* 0 -5)) (ite (>= (* 1 (+ (* 0 0) var5;)) var15;) (ite (< 0 var9;) (ite (or (> var10; 0) (and (or (> var15; var3;)  false )  false )) (ite (and false false) (- var2; var5;) (- var7; var5;)) (+ (ite true var10; var12;) (* 1 var1;))) (- 7 var9;)) (- var15; var11;)))) 5(ite (or (and (and (> (ite (>= var4; var15;) (ite false var15; var3;) (ite false var15; var10;)) (ite  false  (* -1 var7;) (ite true var15; var10;))) (> var15; var3;)) (or  false  (or  true   false ))) (and (and (> (ite (>= var4; var15;) (ite false var15; var3;) (ite false var15; var10;)) (ite  false  (* -1 var7;) (ite true var15; var10;))) (> var15; var3;)) (or  false  (or  true   false )))) 4(ite (or (>= var15; var14;) (>= var15; var14;)) 14(ite (or (and (> var3; var15;) (not (or  false  (>= (ite (and false true) (+ var14; -15) (ite true var2; var15;)) var15;)))) (and (> var3; var15;) (not (or  false  (>= (ite (and false true) (+ var14; -15) (ite true var2; var15;)) var15;))))) 2(ite (or (>= var1; var15;) (>= var1; var15;)) (- 1 1)(ite (or (< var15; var3;) (< var15; var3;)) 1(ite (or (> var7; var15;) (> var7; var15;)) 3(ite (or (> var15; var13;) (> var15; var13;)) 13 11)))))))))))))),2372
src\main\resources\benchmarks\fg_array_search_15.sl,true,33,(ite (or (and (>= var16; var11;) (<= (ite false var13; var16;) (ite true var12; var13;))) (and (>= var16; var11;) (<= (ite false var13; var16;) (ite true var12; var13;)))) 11(ite (or (and (< (ite true var16; var10;) var12;) (and  true  (< var10; var16;))) (and (< (ite true var16; var10;) var12;) (and  true  (< var10; var16;)))) (+ 1 9)(ite (or (and (or false (> var10; var16;)) (>= var16; var9;)) (and (or false (> var10; var16;)) (>= var16; var9;))) 9(ite (or (and (>= (ite (> var7; var16;) (- -14 var15;) (ite false var1; var12;)) var16;) (>= var16; var8;)) (and (>= (ite (> var7; var16;) (- -14 var15;) (ite false var1; var12;)) var16;) (>= var16; var8;))) 8(ite (or (and (and (> (- var4; var4;) (- var7; var16;)) (> var16; (+ (- var16; (ite false var5; var12;)) (+ (* 0 var13;) (ite true var16; var4;)))))  true ) (and (and (> (- var4; var4;) (- var7; var16;)) (> var16; (+ (- var16; (ite false var5; var12;)) (+ (* 0 var13;) (ite true var16; var4;)))))  true )) 7(ite (or (and (> var11; var16;) (>= (* 1 (* 1 (ite (or false true) (- var7; var9;) (ite false var13; var10;)))) (- (ite (and (= var12; var12;)  true ) (ite (= var11; var2;) (- var10; var8;) (ite false var12; var3;)) (- (* 1 var3;) var16;)) (ite (> (- var6; 0) (ite true var16; var13;)) (ite (= var11; var2;) (- var10; var8;) (ite false var12; var3;)) (ite (> var16; var12;) (+ var6; var5;) (ite true var15; var5;)))))) (and (> var11; var16;) (>= (* 1 (* 1 (ite (or false true) (- var7; var9;) (ite false var13; var10;)))) (- (ite (and (= var12; var12;)  true ) (ite (= var11; var2;) (- var10; var8;) (ite false var12; var3;)) (- (* 1 var3;) var16;)) (ite (> (- var6; 0) (ite true var16; var13;)) (ite (= var11; var2;) (- var10; var8;) (ite false var12; var3;)) (ite (> var16; var12;) (+ var6; var5;) (ite true var15; var5;))))))) 6(ite (or (and (>= (ite true var16; var12;) (ite false var3; var5;)) (and (<= 0 (- (+ var12; var8;) (+ var10; (ite true var16; var12;)))) (or (not  false )  false ))) (and (>= (ite true var16; var12;) (ite false var3; var5;)) (and (<= 0 (- (+ var12; var8;) (+ var10; (ite true var16; var12;)))) (or (not  false )  false )))) 5(ite (or (and (<= (+ var4; var6;) (+ var16; var6;)) (and  true  (> var10; var16;))) (and (<= (+ var4; var6;) (+ var16; var6;)) (and  true  (> var10; var16;)))) 4(ite (or (and (>= (+ var7; var2;) (+ var2; var16;)) (> var16; var3;)) (and (>= (+ var7; var2;) (+ var2; var16;)) (> var16; var3;))) 3(ite (or (and (>= (ite (< var16; var2;) (- (* 16 (+ var4; var2;)) var14;) var5;) (ite (and (>= (+ var1; var8;) (ite false (ite false var10; var8;) var16;))  false ) var4; var16;)) (and (>= (ite (< var16; var2;) (- (* 16 (- var16; var9;)) var14;) var5;) (ite false var4; var16;))  true )) (and (>= (ite (< var16; var2;) (- (* 16 (+ var4; var2;)) var14;) var5;) (ite (and (>= (+ var1; var8;) (ite false (ite false var10; var8;) var16;))  false ) var4; var16;)) (and (>= (ite (< var16; var2;) (- (* 16 (- var16; var9;)) var14;) var5;) (ite false var4; var16;))  true ))) 2(ite (or (or  false  (< var16; var1;)) (or  false  (< var16; var1;))) (- 1 1)(ite (or (< var16; var2;) (< var16; var2;)) 1(ite (or (<= var15; var16;) (<= var15; var16;)) 15(ite (or (> (ite true var16; var6;) (ite false var14; var14;)) (> (ite true var16; var6;) (ite false var14; var14;))) 14(ite (or (not (>= var13; var16;)) (not (>= var13; var16;))) 13 12))))))))))))))),3361
src\main\resources\benchmarks\fg_array_search_16.sl,true,49,(ite (or (and (<= (- (+ var18; (ite true var14; var6;)) var14;) (+ -1 var12;)) (> var18; var11;)) (and (<= (- (+ var18; (ite true var14; var6;)) var14;) (+ -1 var12;)) (> var18; var11;))) 11(ite (or (and (>= var12; var18;) (or (and  false   false ) (>= (+ var10; (ite false var2; var18;)) (+ var10; var10;)))) (and (>= var12; var18;) (or (and  false   false ) (>= (+ var10; (ite false var2; var18;)) (+ var10; var10;))))) (+ 1 9)(ite (or (and (<= var9; var18;) (>= (ite (>= var18; var9;) (ite  true  var12; var18;) (- var5; var8;)) var18;)) (and (<= var9; var18;) (>= (ite (>= var18; var9;) (ite  true  var12; var18;) (- var5; var8;)) var18;))) 9(ite (or (and (> var18; (ite false var3; var8;)) (> var12; var18;)) (and (> var18; (ite false var3; var8;)) (> var12; var18;))) 8(ite (or (and (< var7; var18;) (> var9; var18;)) (and (< var7; var18;) (> var9; var18;))) 7(ite (or (< (ite (and  true  (and  true  (<= var5; (ite (<= (- (ite (<= var18; var11;) var11; var5;) (+ var10; var2;)) (* -1 (ite false 1 var13;))) (* 5 (- (- (+ var3; var12;) var10;) (ite true var8; var7;))) var18;)))) var18; var13;) (+ var6; 0)) (< (ite (and  true  (and  true  (<= var5; (ite (<= (- (ite (<= var18; var11;) var11; var5;) (+ var10; var2;)) (* -1 (ite false 1 var13;))) (* 5 (- (- (+ var3; var12;) var10;) (ite true var8; var7;))) var18;)))) var18; var13;) (+ var6; 0))) 5(ite (or (and (>= var18; (ite (> var16; var4;) var8; var17;)) (<= (ite true var18; var13;) var13;)) (and (>= var18; (ite (> var16; var4;) var8; var17;)) (<= (ite true var18; var13;) var13;))) 12(ite (or (and (and (not (<= (ite true var18; var17;) var4;)) (and (or  false  (>= var5; var18;))  true )) (and (or  false   true )  true )) (and (and (not (<= (ite true var18; var17;) var4;)) (and (or  false  (>= var5; var18;))  true )) (and (or  false   true )  true ))) 4(ite (or (and (< var18; var4;) (< var3; var18;)) (and (< var18; var4;) (< var3; var18;))) 3(ite (or (> var1; var18;) (> var1; var18;)) (- 1 1)(ite (or (and (<= var14; var18;) (< var18; (ite false var7; var15;))) (and (<= var14; var18;) (< var18; (ite false var7; var15;)))) 14(ite (or (not (or (and false true) (< var2; var18;))) (not (or (and false true) (< var2; var18;)))) 1(ite (or (> var18; (* 1 var17;)) (> var18; (* 1 var17;))) 17(ite (or (or false (> var18; var16;)) (or false (> var18; var16;))) 16(ite (or (<= var15; var18;) (<= var15; var18;)) 15(ite (or (<= var12; var18;) (<= var12; var18;)) 13(ite (or (and (or true false) (<= var18; var4;)) (and (or true false) (<= var18; var4;))) 2 6))))))))))))))))),2539
src\main\resources\benchmarks\fg_array_search_17.sl,true,56,(ite (or (and (> var12; var19;) (> var19; var11;)) (and (> var12; var19;) (> var19; var11;))) 11(ite (or (and (<= var19; var10;) (> var19; var9;)) (and (<= var19; var10;) (> var19; var9;))) 9(ite (or (<= (- (ite  false  (ite (< var12; var19;) (+ var6; var11;) (ite true var15; var15;)) (* 0 (- var19; var15;))) (ite  false  (* 0 (+ var1; var10;)) (* 0 var6;))) (* 1 (+ (ite (<= var19; var13;) (* -1 (- var12; var19;)) (- var6; var14;)) (ite  true  (- var12; var12;) (+ var2; var9;))))) (<= (- (ite  false  (ite (< var12; var19;) (+ var6; var11;) (ite true var15; var15;)) (* 0 (- var19; var15;))) (ite  false  (* 0 (+ var1; var10;)) (* 0 var6;))) (* 1 (+ (ite (<= var19; var13;) (* -1 (- var12; var19;)) (- var6; var14;)) (ite  true  (- var12; var12;) (+ var2; var9;)))))) 12(ite (or (and (< var8; var19;) (< (* 11 var19;) (* 11 (- (ite false var8; var9;) (* 0 var10;))))) (and (< var8; var19;) (< (* 11 var19;) (* 11 (- (ite false var8; var9;) (* 0 var10;)))))) 8(ite (or (and (< (+ var14; var13;) (- (+ var15; (+ var14; var13;)) var19;)) (not (or  false  (>= var14; var19;)))) (and (< (+ var14; var13;) (- (+ var15; (+ var14; var13;)) var19;)) (not (or  false  (>= var14; var19;))))) 14(ite (or (<= (ite  true  var18; var4;) var19;) (<= (ite  true  var18; var4;) var19;)) 18(ite (or (and (and  true  (<= (ite true var7; var10;) var19;)) (< var19; var10;)) (and (and  true  (<= (ite true var7; var10;) var19;)) (< var19; var10;))) 7(ite (or (<= (* 0 (* 0 (* 0 (- (- var9; (ite true var18; var1;)) (+ var13; var10;))))) (* -8 (ite (not (>= var19; (+ var5; (- var9; var9;)))) (+ (- var4; var19;) (- var9; var9;)) (* 9 (ite (<= var4; var19;) (- var15; var9;) (* -1 var17;)))))) (<= (* 0 (* 0 (* 0 (- (- var9; (ite true var18; var1;)) (+ var13; var10;))))) (* -8 (ite (not (>= var19; (+ var5; (- var9; var9;)))) (+ (- var4; var19;) (- var9; var9;)) (* 9 (ite (<= var4; var19;) (- var15; var9;) (* -1 var17;))))))) 4(ite (or (and (<= (ite (or false false) (* 6 var6;) (ite true var3; var5;)) (ite (<= var19; var5;) (ite true var19; var9;) (ite (= -13 var13;) (ite (<= (- (+ var9; var14;) (* -16 (ite (not true) (ite false var9; var5;) (ite (<= (- (+ var9; var14;) (- var7; var4;)) (* -1 (- (* 0 var18;) (* 0 var18;)))) (* -9 (+ (+ var5; var13;) (- var14; var19;))) (* 0 (ite (not false) (- var17; (* 1 var3;)) (* 6 var6;))))))) var9;) (* -9 (+ (+ var9; var9;) (- var14; var19;))) (* 0 (* 2 var4;))) (* 0 var17;)))) (and true (<= var19; var5;))) (and (<= (ite (or false false) (* 6 var6;) (ite true var3; var5;)) (ite (<= var19; var5;) (ite true var19; var9;) (ite (= -13 var13;) (ite (<= (- (+ var9; var14;) (* -16 (ite (not true) (ite false var9; var5;) (ite (<= (- (+ var9; var14;) (- var7; var4;)) (* -1 (- (* 0 var18;) (* 0 var18;)))) (* -9 (+ (+ var5; var13;) (- var14; var19;))) (* 0 (ite (not false) (- var17; (* 1 var3;)) (* 6 var6;))))))) var9;) (* -9 (+ (+ var9; var9;) (- var14; var19;))) (* 0 (* 2 var4;))) (* 0 var17;)))) (and true (<= var19; var5;)))) 3(ite (or (and (<= (ite (<= var19; (ite true var3; (ite false var8; var2;))) (+ var2; 0) (ite true var3; var14;)) (ite (and false true) (+ var19; var14;) (ite false var8; var2;))) (< var2; var19;)) (and (<= (ite (<= var19; (ite true var3; (ite false var8; var2;))) (+ var2; 0) (ite true var3; var14;)) (ite (and false true) (+ var19; var14;) (ite false var8; var2;))) (< var2; var19;))) 2(ite (or (> var1; var19;) (> var1; var19;)) (- 1 1)(ite (or (>= var2; var19;) (>= var2; var19;)) 1(ite (or (and (>= (ite false var6; var16;) (ite false var4; var19;)) (>= var19; var15;)) (and (>= (ite false var6; var16;) (ite false var4; var19;)) (>= var19; var15;))) 15(ite (or (>= var19; var17;) (>= var19; var17;)) 17(ite (or (>= var19; var14;) (>= var19; var14;)) 16(ite (or (>= var19; var12;) (>= var19; var12;)) 13(ite (or (and (<= var8; (ite (< (ite false var5; var6;) (ite (not  false ) var19; -10)) (+ (- var8; var16;) var14;) (ite false var7; var17;)))  true ) (and (<= var8; (ite (< (ite false var5; var6;) (ite (not (>= var4; var9;)) var19; -10)) (+ (- var8; var16;) var14;) (ite false var7; var17;))) (>= (ite (not (>= var4; var9;)) var19; -10) var5;))) 5(ite (or (<= var19; var8;) (<= var19; var8;)) 6 (+ 1 9))))))))))))))))))),4191
src\main\resources\benchmarks\fg_array_search_18.sl,true,48,(ite (or (and (and (or  false  (not (or (and false true) (> var11; var20;))))  true ) (>= (ite (= var18; var13;) (- var4; var10;) (ite false var12; var12;)) (ite false var5; var20;))) (and (and (or  false  (not (or (and false true) (> var11; var20;))))  true ) (>= (ite (= var18; var13;) (- var4; var10;) (ite false var12; var12;)) (ite false var5; var20;)))) 11(ite (or (and (>= (ite false var6; var20;) (ite (not true) (- var17; var10;) (ite false var8; var10;))) (>= var11; var20;)) (and (>= (ite false var6; var20;) (ite (not true) (- var17; var10;) (ite false var8; var10;))) (>= var11; var20;))) (+ 1 9)(ite (or (< (- (- var18; var15;) (ite (< var9; var20;) (- (+ var18; var11;) (+ var18; var20;)) (* 8 var2;))) (ite (not  true ) (ite true var19; var7;) (- (- var18; var15;) (ite (< var9; var20;) (* 0 var13;) (* 8 var2;))))) (< (- (- var18; var15;) (ite (< var9; var20;) (- (+ var18; var11;) (+ var18; var20;)) (* 8 var2;))) (ite (not  true ) (ite true var19; var7;) (- (- var18; var15;) (ite (< var9; var20;) (* 0 var13;) (* 8 var2;)))))) 9(ite (or (and (> (ite  true  var9; (ite false var9; var3;)) var20;) (>= var20; (* 1 var8;))) (and (> (ite  true  var9; (ite false var9; var3;)) var20;) (>= var20; (* 1 var8;)))) 8(ite (or (and (>= var11; (ite (or false (>= var20; var7;)) (+ (ite  true  var20; var17;) (ite  false  (- var20; var11;) (* 0 var19;))) (ite false var20; var17;)))  true ) (and (>= var11; (ite (or false (>= var20; var7;)) (+ (ite  true  var20; var17;) (ite  false  (- var20; var11;) (* 0 var19;))) (ite false var20; var17;)))  true )) 7(ite (or (and (<= var6; var20;) (<= var20; var7;)) (and (<= var6; var20;) (<= var20; var7;))) 6(ite (or (and (>= (- var6; var20;) (ite (not false) (* 0 var4;) (- var8; var8;))) (<= var5; var20;)) (and (>= (- var6; var20;) (ite (not false) (* 0 var4;) (- var8; var8;))) (<= var5; var20;))) 5(ite (or (> var10; (ite (or (and false false) (<= var4; var20;)) var20; (ite (and false false) (- var5; var8;) var13;))) (> var10; (ite (or (and false false) (<= var4; var20;)) var20; (ite (and false false) (- var5; var8;) var13;)))) 4(ite (or (and (<= var20; var12;) (>= var20; var3;)) (and (<= var20; var12;) (>= var20; var3;))) 3(ite (or (> (- var5; var20;) (ite (or (or  false  (not false))  false ) (ite  true  (ite (> var20; var2;) (* 0 var5;) (* 16 (- var5; var20;))) (- var5; var20;)) (- (- (+ var8; 1) (+ var16; var11;)) (+ (* 17 0) (* -14 var14;))))) (> (- var5; var20;) (ite (or (or  false  (not false))  false ) (ite  true  (ite (> var20; var2;) (* 0 var5;) (* 16 (- var5; var20;))) (- var5; var20;)) (- (- (+ var8; 1) (+ var16; var11;)) (+ (* 17 0) (* -14 var14;)))))) 2(ite (or (or (>= var1; var20;)  false ) (or (>= var1; var20;)  false )) (- 1 1)(ite (or (>= var4; var20;) (>= var4; var20;)) 1(ite (or (< var19; var20;) (< var19; var20;)) 19(ite (or (not (<= var20; var18;)) (not (<= var20; var18;))) 18(ite (or (or (> var20; var17;) (not  true )) (or (> var20; var17;) (not  true ))) 17(ite (or (<= var16; var20;) (<= var16; var20;)) 16(ite (or (>= var20; var15;) (>= var20; var15;)) 15(ite (or (> var20; var14;) (> var20; var14;)) 14(ite (or (<= var13; var20;) (<= var13; var20;)) 13 12))))))))))))))))))),3175
